,Symbol,Company,Price,52 WkChange %,EstimatedValuation,Total FundingRaised,Latest FundingDate,Latest AmountRaised,Latest RoundShare Class,Private CompanySector
0,POLA.PVT,Polymarket,141.60,"+1,575.74%",12.295B,1.27B,2025-10-06,1B,Series D,Blockchain and Crypto
1,KLSH.PVT,Kalshi,324.82,+884.00%,11.139B,1.531B,2025-11-19,999.997M,Series E,Financial Services
2,NURO.PVT,Nuro,8.43,+743.00%,3.954B,2.206B,2025-08-20,203.188M,Series E,Transportation
3,SKIA.PVT,Skild AI,64.95,+684.42%,13.999B,2.217B,2026-01-13,694.067M,Series C,Hardware
4,WHOO.PVT,WHOOP,11.23,+560.59%,9.071B,898.852M,2026-02-25,440M,Series G-1,Consumer Goods
5,REPI.PVT,Replit,268.12,+495.82%,9.72B,854.09M,2026-02-11,400M,Series D,Software
6,ANTH.PVT,Anthropic,259.14,+329.61%,380.005B,53.15B,2026-02-11,15.045B,Series G-1,Artificial Intelligence
7,CUES.PVT,Crusoe Energy Systems,123.05,+321.84%,14.647B,2.62B,2025-10-23,1.375B,Series E,Energy
8,OPAI.PVT,OpenAI,727.98,+252.29%,840B,166.07B,2026-02-26,110B,Series C,Artificial Intelligence
9,LAMD.PVT,Lambda,60.46,+176.45%,11.053B,2.364B,2025-11-17,410.284M,Series E-3,Data and Analytics
10,CESY.PVT,Cerebras Systems,100.35,+174.48%,25.929B,2.923B,2026-02-03,1.014B,Series H,Hardware
11,SPAX.PVT,SpaceX,601.13,+167.57%,1.427T,8.923B,2026-02-02,250B,Corporate Round,Space
12,STOS.PVT,Stoke Space,49.92,+149.85%,3.419B,1.194B,2026-02-09,350M,Series D-2,Science and Engineering
13,DITD.PVT,Divergent 3D,29.41,+145.08%,1.933B,884.612M,2025-09-14,153.103M,Series E,Manufacturing
14,EISL.PVT,Eight Sleep,3.50,+143.06%,653.798M,269.776M,2026-03-03,69.122M,Series D,Consumer Electronics
15,VERC.PVT,Vercel,175.01,+138.86%,8.104B,863.022M,2025-09-29,299.999M,Series F,Software
16,TATE.PVT,TAE Technologies,45.00,+137.72%,2.472B,1.187B,2025-06-01,150M,Series 12,Energy
17,MOTV.PVT,Motive,15.75,+137.56%,2.073B,434.602M,2025-07-29,169.945M,Series F Senior,Supply Chain and Logistics
18,RAMP.PVT,Ramp,92.03,+134.77%,32.722B,2.191B,2025-11-16,300M,Series E-3,Financial Services
19,INTC.PVT,Intercom,50.00,+117.39%,1.98B,241.365M,2018-03-16,125M,Series D,Sales and Marketing
20,NETS.PVT,Netskope,22.49,+106.52%,8.249B,1.05B,2021-07-08,300M,Series H,Privacy and Security
21,STRI.PVT,Stripe,72.45,+101.53%,184.401B,8.733B,2026-02-23,--,Tender Offer 3,Financial Services
22,PEAI.PVT,Perplexity,69.54,+98.91%,20.391B,2.254B,2025-09-25,525M,Series E-6,Artificial Intelligence
23,SHAI.PVT,Shield AI,153.22,+96.81%,10.432B,1.032B,2025-03-05,240M,Series F1,Government and Military
24,ABRI.PVT,Abridge,170.00,+88.87%,5.686B,757.979M,2025-06-23,300M,Series E,Software
25,AGRO.PVT,Agility Robotics,68.73,+86.46%,2.206B,641.249M,2025-06-24,400M,Series C-3,Hardware
26,DATB.PVT,Databricks,196.29,+81.90%,138.436B,20.551B,2026-02-08,5B,Series L,Data and Analytics
27,HARN.PVT,Harness,25.39,+79.18%,5.5B,715.854M,2025-12-10,200M,Tender Offer 1,Software
28,GROQ.PVT,Groq,29.77,+75.53%,6.387B,1.798B,2025-09-16,750M,Series D-3,Hardware
29,DRAG.PVT,Dragos,20.00,+73.91%,763.137M,382.196M,2021-10-27,210M,Series D,Privacy and Security
30,ZIPL.PVT,Zipline,48.80,+70.81%,6.592B,1.753B,2026-01-19,600M,Series H,Supply Chain and Logistics
31,PSIQ.PVT,PsiQuantum,33.77,+68.85%,5.748B,1.667B,2025-09-09,969.825M,Series E,Hardware
